case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
01,no_termination,-3.630131483078003,-0.0028076171875,5,0,0.0,True,4,0,27843
02,no_termination,-4.769039154052734,0.0,5,0,0.0,True,4,0,28286
03,no_termination,-3.351963758468628,0.0,5,0,0.0,True,2,0,26720
04,no_termination,-2.2549095153808594,0.0,5,0,0.0,True,4,0,29735
05,no_termination,-2.961643934249878,0.0,5,0,0.0,True,3,0,26963
06,no_termination,-1.9020652770996096,0.2625579833984375,5,0,0.0,True,2,2,29172
07,no_termination,-7.030705213546753,0.0,5,0,0.0,True,4,0,27927
08,no_termination,-7.190670013427734,-6.103515625e-05,5,1,0.2,True,3,1,29935
09,no_termination,-1.9912567138671875,0.0,3,0,0.0,True,0,0,32056
10,no_termination,-2.7176666259765625,-0.0081405639648437,4,0,0.0,True,3,0,44961
11,no_termination,-2.4184722900390625,-0.0371627807617187,3,0,0.0,True,2,0,37005
12,no_termination,-2.3513641357421875,-0.2700424194335937,3,0,0.0,True,2,0,37106
13,no_termination,-2.8251419067382812,0.0,4,0,0.0,True,3,0,28617
14,no_termination,-3.5911407470703125,0.0,5,0,0.0,True,3,0,25347
15,no_termination,-3.257709503173828,0.0,5,0,0.0,True,3,0,42468
16,no_termination,-4.662910461425781,-0.3908576965332031,5,0,0.0,True,2,1,25922
17,no_termination,-3.240985870361328,3.0517578125e-05,5,0,0.0,True,4,0,28295
18,no_termination,-3.2147865295410156,-0.4907722473144531,5,0,0.0,True,2,0,27680
19,no_termination,-4.0125274658203125,0.0,5,0,0.0,True,4,0,29145
20,no_termination,-11.652278900146484,0.0,5,0,0.0,True,5,1,31124
